orderNo,vendor,vendorOrderNo,orderDate,paymentMethod,shippingMethod,trackingNumber,sku,qty,received,price
587,Amazon,?112-6131929-4281069,2025-08-21,3005,,,239815,1,2025-08-27,12.7093997413054
588,Amazon,114-3901778-7848206,2025-08-22,3005,,,181145,1,2025-08-23,56.1694017081097
597,Amazon,112-3772048-5617827,2025-08-27,3005,,,02IQJG1T,1,2025-08-29,15.8893997372821
616,Amazon,114-8904504-5153005,2025-09-16,3005,,,1009810,1,2025-09-17,-0.572399958840013
632,Amazon,,2025-11-03,,,,241022,1,2025-11-04,37.9799995422363
661,Belmont Butchery,,2025-12-15,Cash,oldmanwalking,,103595,1,2025-12-15,7.12809991836548
650,Chewy.com,5061386080,2025-11-29,2466,fedex,,575794,1,2025-11-30,14.3699998855591
654,Chewy.com,5063807250,2025-12-03,5933,fedex,,100429,1,2025-12-04,16.9799995422363
654,Chewy.com,5063807250,2025-12-03,5933,fedex,,999910,1,2025-12-04,37.439998626709
657,Chewy.com,5066865032,2025-12-08,5933,fedex,,100429,1,2025-12-11,16.9799995422363
667,Chewy.com,5085237420,2026-01-12,5933,fedex,,575794,2,2026-01-14,28.7399997711182
667,Chewy.com,5085237420,2026-01-12,5933,fedex,,999910,1,2026-01-14,39.0699996948242
684,Chewy.com,,2026-02-09,5933,fedex,,168580,1,2026-02-11,18.9899997711182
684,Chewy.com,,2026-02-09,5933,fedex,,575794,1,2026-02-11,14.3699998855591
684,Chewy.com,,2026-02-09,5933,fedex,,999910,1,2026-02-11,38.254997253418
574,Costco Glen Allen,1222885870,2025-09-11,3005,,,894679,1,2025-09-08,65
624,Costco Glen Allen,,2025-10-09,2466,,,952912,1,2025-10-19,27.9899997711182
624,Costco Glen Allen,,2025-10-09,2466,,,954930,1,2025-10-19,17.9899997711182
629,Costco Glen Allen,1237247325,2025-11-15,2466,,,952912,1,2025-11-14,32.9900016784668
638,Costco Glen Allen,,2025-11-04,,,,024719,1,2025-11-04,9.98999977111816
638,Costco Glen Allen,,2025-11-04,,,,141323,1,2025-11-04,14.9899997711182
638,Costco Glen Allen,,2025-11-04,,,,954930,1,2025-11-04,17.9899997711182
660,Costco Glen Allen,,2025-12-12,Cash,oldmanwalking,,954930,1,2025-12-13,18.9899997711182
669,Costco Glen Allen,,2026-01-01,5933,car,,188755,1,2026-01-12,4.48999977111816
669,Costco Glen Allen,,2026-01-01,5933,car,,1919326,1,2026-01-12,28.4899997711182
669,Costco Glen Allen,,2026-01-01,5933,car,,194643,1,2026-01-12,20.9899997711182
669,Costco Glen Allen,,2026-01-01,5933,car,,954930,1,2026-01-12,18.9899997711182
683,Costco Glen Allen,,2026-02-03,5933,oldmanwalking,,614422,1,2026-02-12,17.9899997711182
691,Costco Glen Allen,1269993605,2026-03-11,CHASE,fedex,513949903459,954930,1,2026-03-15,21.4899997711182
699,Costco Glen Allen,,2026-04-09,5933,fedex,,210120,1,9999-12-31,0
699,Costco Glen Allen,,2026-04-09,5933,fedex,,522965,1,9999-12-31,0
699,Costco Glen Allen,,2026-04-09,5933,fedex,,952912,1,9999-12-31,0
699,Costco Glen Allen,,2026-04-09,5933,fedex,,954930,1,9999-12-31,0
611,Costco Midlothian,1222886710,2025-09-08,3005,,,000860,1,2025-09-12,3.96000003814697
611,Costco Midlothian,1222886710,2025-09-08,3005,,,522965,1,2025-09-12,26.9899997711182
611,Costco Midlothian,1222886710,2025-09-08,3005,,,952912,1,2025-09-12,32.9900016784668
617,Costco Midlothian,1224682440,2025-09-17,3005,,,210120,1,2025-09-22,25.1561693423483
619,Costco Midlothian,,2025-09-19,3005,,,954930,1,2025-09-23,19.5838993792109
640,Fresh Chili Company,FCC-439711,2025-11-05,5933,,,569163,1,2025-11-12,10.9499998092651
643,Fresh Chili Company,FCC-300949,2024-10-28,3005,,,624543,1,2024-11-05,0
658,Google Fi,GS.3154-4383-9660,2025-12-08,5933,fedex,451684887450,BSP7S3,1,2025-12-20,49.9900054931641
696,Girl Scouts of the Commonwealth of Virginia,,2026-03-15,5933,oldmanwalking,,070337,1,2026-03-15,5
636,Kroger, West Cary Street,,2025-11-02,5933,,,002256,1,2025-11-03,21.9899997711182
636,Kroger, West Cary Street,,2025-11-02,5933,,,010098,1,2025-11-03,3.99000000953674
636,Kroger, West Cary Street,,2025-11-02,5933,,,050312,1,2025-11-03,5.98999977111816
636,Kroger, West Cary Street,,2025-11-02,5933,,,200276,1,2025-11-03,5.48999977111816
636,Kroger, West Cary Street,,2025-11-02,5933,,,309216,1,2025-11-03,5
636,Kroger, West Cary Street,,2025-11-02,5933,,,795410,1,2025-11-03,3.99000000953674
642,Kroger, West Cary Street,,2025-11-12,5933,,,001700,1,2025-11-12,4.28999996185303
642,Kroger, West Cary Street,,2025-11-12,5933,,,004068,0.875,2025-11-12,1.0900000333786
642,Kroger, West Cary Street,,2025-11-12,5933,,,004093,1.12,2025-11-12,1.71570003032684
642,Kroger, West Cary Street,,2025-11-12,5933,,,004664,1.815,2025-11-12,4.07620000839233
642,Kroger, West Cary Street,,2025-11-12,5933,,,004705,0.5833333,2025-11-12,1.0819000005722
642,Kroger, West Cary Street,,2025-11-12,5933,,,005158,1,2025-11-12,2.99000000953674
642,Kroger, West Cary Street,,2025-11-12,5933,,,007062,1,2025-11-12,5.17999982833862
642,Kroger, West Cary Street,,2025-11-12,5933,,,010098,1,2025-11-12,4.28999996185303
642,Kroger, West Cary Street,,2025-11-12,5933,,,040601,1,2025-11-12,1.78999996185303
642,Kroger, West Cary Street,,2025-11-12,5933,,,050312,2,2025-11-12,11.9799995422363
642,Kroger, West Cary Street,,2025-11-12,5933,,,060914,1,2025-11-12,9.89000034332275
642,Kroger, West Cary Street,,2025-11-12,5933,,,067617,1,2025-11-12,2.49000000953674
642,Kroger, West Cary Street,,2025-11-12,5933,,,089301,1,2025-11-12,3.99000000953674
642,Kroger, West Cary Street,,2025-11-12,5933,,,200276,1,2025-11-12,5.48999977111816
646,Kroger, West Cary Street,,2025-11-26,SNAP 0834,,,001117,1,2025-11-24,3.58999991416931
646,Kroger, West Cary Street,,2025-11-26,SNAP 0834,,,004011,2.599048,2025-11-24,1.21549999713898
646,Kroger, West Cary Street,,2025-11-26,SNAP 0834,,,004504,1,2025-11-24,1.99000000953674
646,Kroger, West Cary Street,,2025-11-26,SNAP 0834,,,005158,1,2025-11-24,3.58999991416931
646,Kroger, West Cary Street,,2025-11-26,SNAP 0834,,,040601,1,2025-11-24,1.78999996185303
646,Kroger, West Cary Street,,2025-11-26,SNAP 0834,,,050312,1,2025-11-24,5.98999977111816
646,Kroger, West Cary Street,,2025-11-26,SNAP 0834,,,091487,1,2025-11-24,2.28999996185303
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,002818,1,2025-11-28,7.98999977111816
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,004068,0.9861111,9999-12-31,0
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,004664,1.967222,2025-11-28,3.66400003433228
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,007062,1.5,2025-11-28,2.58999991416931
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,010098,1,2025-11-28,4.28999996185303
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,015121,1,9999-12-31,0
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,017201,1,2025-11-28,6.98999977111816
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,040601,1,2025-11-28,1.88999998569489
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,050312,1,2025-11-28,5.98999977111816
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,086694,1,2025-11-28,1.78999996185303
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,111252,1,2025-11-28,1.5900000333786
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,200276,1,2025-11-28,5.48999977111816
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,213505,1,2025-11-28,2.69000005722046
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,850218,1,2025-11-28,1.25
649,Kroger, West Cary Street,,2025-11-28,5933,oldmanwalking,,876607,1,2025-11-28,1.78999996185303
652,Kroger, West Cary Street,,2025-12-04,SNAP 0834,oldmanwalking,,004011,2.599048,2025-12-04,1.4465000629425
652,Kroger, West Cary Street,,2025-12-04,SNAP 0834,oldmanwalking,,004068,1,2025-12-04,1.05999994277954
652,Kroger, West Cary Street,,2025-12-04,SNAP 0834,oldmanwalking,,015121,1,2025-12-04,6.98999977111816
652,Kroger, West Cary Street,,2025-12-04,SNAP 0834,oldmanwalking,,050312,1,2025-12-04,5.98999977111816
652,Kroger, West Cary Street,,2025-12-04,SNAP 0834,oldmanwalking,,060933,1,2025-12-04,2.98000001907349
659,Kroger, West Cary Street,,2025-12-10,5933,oldmanwalking,,004011,2.599048,2025-12-11,1.50150001049042
659,Kroger, West Cary Street,,2025-12-10,5933,oldmanwalking,,004705,0.4444444,2025-12-11,1.64030003547668
659,Kroger, West Cary Street,,2025-12-10,5933,oldmanwalking,,038488,1,2025-12-11,3
659,Kroger, West Cary Street,,2025-12-10,5933,oldmanwalking,,050312,1,2025-12-11,5.98999977111816
659,Kroger, West Cary Street,,2025-12-10,5933,oldmanwalking,,460707,1,2025-12-11,1.99000000953674
689,Kroger, West Cary Street,,2026-02-15,7915,oldmanwalking,,003719,1,2026-02-15,1.49000000953674
689,Kroger, West Cary Street,,2026-02-15,7915,oldmanwalking,,007062,1,2026-02-15,2.58999991416931
689,Kroger, West Cary Street,,2026-02-15,7915,oldmanwalking,,014604,1,2026-02-15,2.5
689,Kroger, West Cary Street,,2026-02-15,7915,oldmanwalking,,103232,1,2026-02-15,1.66999995708466
615,Kroger, Laburnum,,2025-09-14,3005,,,000708,1,2025-09-15,5.81939975002259
615,Kroger, Laburnum,,2025-09-14,3005,,,000860,1,2025-09-15,0.400000005960464
615,Kroger, Laburnum,,2025-09-14,3005,,,050312,1,2025-09-15,5.98999977111816
615,Kroger, Laburnum,,2025-09-14,3005,,,060933,1,2025-09-15,4.51857137680054
615,Kroger, Laburnum,,2025-09-14,3005,,,715267,1,2025-09-15,0.879999995231628
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,004068,1,2025-11-19,2.1800000667572
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,004664,1.967222,2025-11-19,4.99219989776611
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,010381,1,2025-11-19,3.48999977111816
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,039316,1,2025-11-19,3.98999977111816
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,040601,1,2025-11-19,1.78999996185303
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,060933,1,2025-11-19,2.98000001907349
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,152641,1,2025-11-19,5.98999977111816
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,650191,1,2025-11-19,5.98999977111816
645,Kroger, Laburnum,,2025-11-17,SNAP 0834,,,972934,1,2025-11-19,2.99000000953674
568,Kroger, Lombardi,,2025-08-09,3005,,,000860,1,2025-08-09,0.529999971389771
568,Kroger, Lombardi,,2025-08-09,3005,,,003712,1,2025-08-09,2.99000024795532
568,Kroger, Lombardi,,2025-08-09,3005,,,004011,3.2,2025-08-09,1.3034999370575
568,Kroger, Lombardi,,2025-08-09,3005,,,004068,1,2025-08-09,0.990000009536743
568,Kroger, Lombardi,,2025-08-09,3005,,,004090,0.9,2025-08-09,1.97010004520416
568,Kroger, Lombardi,,2025-08-09,3005,,,004664,1.8,2025-08-09,4.57610034942627
568,Kroger, Lombardi,,2025-08-09,3005,,,004705,0.25,2025-08-09,1.64030003547668
568,Kroger, Lombardi,,2025-08-09,3005,,,017201,1,2025-08-09,4.98999977111816
568,Kroger, Lombardi,,2025-08-09,3005,,,050312,1,2025-08-09,5.98999977111816
568,Kroger, Lombardi,,2025-08-09,3005,,,060933,2,2025-08-09,4.78999996185303
568,Kroger, Lombardi,,2025-08-09,3005,,,089301,1,2025-08-09,4.28999996185303
568,Kroger, Lombardi,,2025-08-09,3005,,,091487,1,2025-08-09,2.19000005722046
568,Kroger, Lombardi,,2025-08-09,3005,,,200276,1,2025-08-09,5.48999977111816
568,Kroger, Lombardi,,2025-08-09,3005,,,500000,1,2025-08-09,7.3899998664856
575,Kroger, Lombardi,,2025-08-04,SNAP 0834,,,001987,1,2025-08-04,4.28999996185303
575,Kroger, Lombardi,,2025-08-04,SNAP 0834,,,050312,1,2025-08-04,5.98999977111816
575,Kroger, Lombardi,,2025-08-04,SNAP 0834,,,060933,1,2025-08-04,4.3899998664856
575,Kroger, Lombardi,,2025-08-04,SNAP 0834,,,200276,1,2025-08-04,5.48999977111816
578,Kroger, Lombardi,,2025-08-12,3005,,,000860,1,2025-08-12,0.159999996423721
578,Kroger, Lombardi,,2025-08-12,3005,,,010621,1,2025-08-12,2.5
578,Kroger, Lombardi,,2025-08-12,3005,,,241939,1,2025-08-12,3.39000010490417
579,Kroger, Lombardi,,2025-08-16,3005,,,000860,1,2025-08-16,0.560000002384186
579,Kroger, Lombardi,,2025-08-16,3005,,,001618,1,2025-08-16,1.78999996185303
579,Kroger, Lombardi,,2025-08-16,3005,,,004011,2.8,2025-08-16,1.42449998855591
579,Kroger, Lombardi,,2025-08-16,3005,,,004068,1,2025-08-16,0.990000009536743
579,Kroger, Lombardi,,2025-08-16,3005,,,004664,2,2025-08-16,5.67920017242432
579,Kroger, Lombardi,,2025-08-16,3005,,,044150,1,2025-08-16,9.98999977111816
579,Kroger, Lombardi,,2025-08-16,3005,,,060933,1,2025-08-16,4.78999996185303
579,Kroger, Lombardi,,2025-08-16,3005,,,061689,1,2025-08-16,5.98999977111816
579,Kroger, Lombardi,,2025-08-16,3005,,,067617,1,2025-08-16,2.79000020027161
579,Kroger, Lombardi,,2025-08-16,3005,,,085021,1,2025-08-16,1.25
579,Kroger, Lombardi,,2025-08-16,3005,,,089301,1,2025-08-16,4.28999996185303
579,Kroger, Lombardi,,2025-08-16,3005,,,091487,1,2025-08-16,2.28999996185303
579,Kroger, Lombardi,,2025-08-16,3005,,,177963,1,2025-08-16,1.78999996185303
579,Kroger, Lombardi,,2025-08-16,3005,,,200276,1,2025-08-16,5.48999977111816
579,Kroger, Lombardi,,2025-08-16,3005,,,502049,1,2025-08-16,2.49000000953674
579,Kroger, Lombardi,,2025-08-16,3005,,,898760,2,2025-08-16,4.78000020980835
584,Kroger, Lombardi,,2025-08-20,3005,,,000860,1,2025-08-20,7.99999982118607E-02
584,Kroger, Lombardi,,2025-08-20,3005,,,103232,1,2025-08-20,1.78999996185303
584,Kroger, Lombardi,,2025-08-20,3005,,,213505,1,2025-08-20,2.69000005722046
584,Kroger, Lombardi,,2025-08-20,3005,,,241939,1,2025-08-20,3.39000010490417
593,Kroger, Lombardi,,2025-09-12,3005,,,000860,1,2025-09-08,1.83000004291534
593,Kroger, Lombardi,,2025-09-12,3005,,,004011,2.7,2025-09-08,1.78200006484985
593,Kroger, Lombardi,,2025-09-12,3005,,,004068,1,2025-09-08,0.990000009536743
593,Kroger, Lombardi,,2025-09-12,3005,,,005158,1,2025-09-08,3.99000000953674
593,Kroger, Lombardi,,2025-09-12,3005,,,010098,1,2025-09-08,3.8899998664856
593,Kroger, Lombardi,,2025-09-12,3005,,,011888,1,2025-09-08,3.19000005722046
593,Kroger, Lombardi,,2025-09-12,3005,,,013401,1,2025-09-08,1.5900000333786
593,Kroger, Lombardi,,2025-09-12,3005,,,014604,1,2025-09-08,2.53999996185303
593,Kroger, Lombardi,,2025-09-12,3005,,,015121,1,2025-09-08,2.18999981880188
593,Kroger, Lombardi,,2025-09-12,3005,,,044700,1,2025-09-08,2
593,Kroger, Lombardi,,2025-09-12,3005,,,050312,1,2025-09-08,5.98999977111816
593,Kroger, Lombardi,,2025-09-12,3005,,,060933,1,2025-09-08,4.28999996185303
593,Kroger, Lombardi,,2025-09-12,3005,,,089301,1,2025-09-08,3.5
593,Kroger, Lombardi,,2025-09-12,3005,,,091487,1,2025-09-08,1.88999998569489
593,Kroger, Lombardi,,2025-09-12,3005,,,200242,1,2025-09-08,5.48999977111816
593,Kroger, Lombardi,,2025-09-12,3005,,,460707,1,2025-09-08,1.99000000953674
593,Kroger, Lombardi,,2025-09-12,3005,,,758709,1,2025-09-08,20.9899997711182
593,Kroger, Lombardi,,2025-09-12,3005,,,862006,1,2025-09-08,1.5900000333786
596,Kroger, Lombardi,,2025-08-27,,,,000860,1,2025-08-28,0.159999996423721
596,Kroger, Lombardi,,2025-08-27,,,,004011,2.2,2025-08-28,1.29250001907349
596,Kroger, Lombardi,,2025-08-27,,,,050312,1,2025-08-28,5.98999977111816
596,Kroger, Lombardi,,2025-08-27,,,,060933,1,2025-08-28,4.28999996185303
596,Kroger, Lombardi,,2025-08-27,,,,173108,1,2025-08-28,4.3899998664856
604,Kroger, Lombardi,,2025-08-29,2466,,,000860,1,2025-08-29,0.209999993443489
604,Kroger, Lombardi,,2025-08-29,2466,,,007062,2,2025-08-29,2.49000000953674
604,Kroger, Lombardi,,2025-08-29,2466,,,015201,1,2025-08-29,4.69000005722046
604,Kroger, Lombardi,,2025-08-29,2466,,,0427052,1,2025-08-29,1.99000000953674
604,Kroger, Lombardi,,2025-08-29,2466,,,096972,1,2025-08-29,7.28999996185303
604,Kroger, Lombardi,,2025-08-29,2466,,,460707,1,2025-08-29,1.99000000953674
604,Kroger, Lombardi,,2025-08-29,2466,,,898760,1,2025-08-29,2.39000010490417
605,Kroger, Lombardi,,2025-09-01,SNAP 0834,,,000860,1,2025-09-02,7.99999982118607E-02
605,Kroger, Lombardi,,2025-09-01,SNAP 0834,,,060933,1,2025-09-02,4.28999996185303
605,Kroger, Lombardi,,2025-09-01,SNAP 0834,,,502681,1,2025-09-02,3.28999996185303
606,Kroger, Lombardi,,2025-09-03,SNAP 0834,,,004011,2.2,2025-09-06,1.22100007534027
606,Kroger, Lombardi,,2025-09-03,SNAP 0834,,,050312,1,2025-09-06,5.98999977111816
606,Kroger, Lombardi,,2025-09-03,SNAP 0834,,,096972,1,2025-09-06,7.28999996185303
606,Kroger, Lombardi,,2025-09-03,SNAP 0834,,,611614,1,2025-09-06,7.98999977111816
606,Kroger, Lombardi,,2025-09-03,SNAP 0834,,,850218,1,2025-09-06,1.25
608,Kroger, Lombardi,,2025-09-06,3005,,,000860,1,2025-09-06,5.00000007450581E-02
608,Kroger, Lombardi,,2025-09-06,3005,,,004664,1.6,2025-09-06,5.03800010681152
609,Kroger, Lombardi,,2025-09-06,3005,,,000860,1,2025-09-06,5.00000007450581E-02
609,Kroger, Lombardi,,2025-09-06,3005,,,200276,1,2025-09-06,5.48999977111816
614,Kroger, Lombardi,,2025-09-13,3005,,,000860,1,2025-09-13,5.00000007450581E-02
614,Kroger, Lombardi,,2025-09-13,3005,,,004093,0.8,2025-09-13,2.71180009841919
614,Kroger, Lombardi,,2025-09-13,3005,,,213505,1,2025-09-13,2.69000005722046
618,Kroger, Lombardi,,2025-09-19,,,,000860,1,2025-09-26,9.00000035762787E-02
618,Kroger, Lombardi,,2025-09-19,,,,060933,1,2025-09-26,3.99000000953674
618,Kroger, Lombardi,,2025-09-19,,,,237857,1,2025-09-26,2.69000005722046
618,Kroger, Lombardi,,2025-09-19,,,,898760,1,2025-09-26,2.39000010490417
622,Kroger, Lombardi,,2025-10-02,5933,,,000860,1,2025-10-01,0.419999986886978
